domain,price_usd,sale_year,tld
block863.com,74041,2017,com
quant623.tech,101702,2019,tech
block479.com,37583,2018,com
neural755.com,53588,2016,com
fin91.org,12491,2019,org
future803.tech,43102,2018,tech
quant881.io,101589,2016,io
cloud591.io,50483,2024,io
cloud626.org,6974,2019,org
neural498.tech,129082,2019,tech
health924.net,7764,2023,net
neural914.com,58194,2017,com
fin245.tech,23996,2015,tech
fin5.org,12487,2017,org
cloud707.ai,43859,2017,ai
neural279.ai,126940,2019,ai
quant715.tech,88889,2021,tech
smart307.net,11154,2018,net
smart109.io,31904,2020,io
health82.ai,30169,2016,ai
block226.ai,107838,2021,ai
web882.net,10533,2024,net
ai366.org,73267,2024,org
fin582.com,13910,2021,com
ai834.io,97575,2022,io
fin687.net,14588,2024,net
block373.io,97477,2022,io
quant143.com,55243,2016,com
neural96.tech,127834,2023,tech
fin104.io,40568,2022,io
quant960.tech,103117,2022,tech
crypto716.tech,104555,2019,tech
block443.com,80780,2018,com
data185.net,13203,2023,net
quant931.org,60008,2024,org
data489.com,12664,2019,com
health219.ai,27106,2017,ai
cloud348.net,14049,2019,net
smart967.io,51954,2016,io
health46.org,9749,2023,org
future196.org,9387,2021,org
neural668.io,91117,2023,io
fin903.io,33025,2016,io
ai67.tech,74514,2022,tech
quant967.org,57912,2015,org
data545.org,14033,2018,org
health980.tech,35305,2020,tech
block265.tech,69127,2018,tech
neural724.net,35961,2023,net
data166.io,44231,2019,io
health712.net,13160,2025,net
block34.org,66470,2015,org
neural744.io,108953,2025,io
neural841.tech,127182,2025,tech
fin397.net,6194,2023,net
data768.ai,25686,2023,ai
cloud389.com,10835,2023,com
neural388.org,87896,2015,org
health914.com,9820,2015,com
web272.io,37878,2022,io
crypto339.com,51617,2023,com
health443.com,7027,2024,com
block37.tech,101312,2024,tech
quant298.org,49625,2015,org
future956.io,57080,2022,io
neural612.net,50022,2022,net
fin60.org,10628,2019,org
crypto806.tech,81792,2015,tech
neural86.ai,88940,2016,ai
neural437.io,87308,2018,io
web95.tech,44507,2016,tech
smart258.net,7913,2024,net
fin927.com,8968,2025,com
ai11.com,71236,2022,com
crypto55.net,47562,2020,net
health919.tech,52967,2023,tech
neural993.tech,66707,2025,tech
fin344.org,13510,2024,org
block959.io,67773,2016,io
